"subgenre","num_films"
"Computer Animation","28"
"Fantasy","14"
"Urban Adventure","8"
"Supernatural Fantasy","7"
"Coming-of-Age","6"
"Quest","6"
"Animal Adventure","5"
"Buddy Comedy","4"
"Motorsport","3"
"Music","3"
"Sea Adventure","3"
"Sci-Fi","3"
"Sport","3"
"Superhero","3"
"Car Action","2"
"Teen Comedy","2"
"Fairy Tale","2"
"Space Sci-Fi","2"
"Sword & Sorcery","2"
"Mystery","1"
"Artificial Intelligence","1"
"Crime","1"
"Dinosaur Adventure","1"
"Dystopian Sci-Fi","1"
"Fantasy Epic","1"
"Globetrotting Adventure","1"
"Adventure Epic","1"
"Road Trip","1"
"Romance","1"
"Spy","1"
"Teen Adventure","1"
"Teen Drama","1"
"Time Travel","1"
