"film","release_date","budget","box_office_us_canada","box_office_other","box_office_worldwide","run_time","film_rating","rotten_tomatoes_score","rotten_tomatoes_counts","metacritic_score","metacritic_counts","imdb_score","imdb_counts","cinema_score"
"A Bug's Life","1998-11-25","120000000","162798565","200460294","363258859",95,"G",92,91,78,23,7.2,319596,"A"
"Brave","2012-06-22","185000000","237283207","301700000","538983207",93,"PG",79,256,69,37,7.1,452012,"A"
"Cars","2006-06-09","120000000","244082982","217900167","461983149",116,"G",75,204,73,39,7.2,484034,"A"
"Cars 2","2011-06-24","200000000","191452396","368400000","559852396",106,"G",40,220,57,38,6.2,225724,"A-"
"Cars 3","2017-06-16","175000000","152901115","231029541","383930656",102,"G",69,234,59,41,6.7,128849,"A"
"Coco","2017-11-22","175000000","210460015","604181157","814641172",105,"PG",97,357,81,48,8.4,618005,"A+"
"Elemental","2023-06-16","200000000","154426697","342017611","496444308",101,"PG",73,262,58,45,7,140174,"A"
"Finding Dory","2016-06-17","200000000","486295561","542275328","1028570889",97,"PG",94,339,77,48,7.2,311793,"A"
"Finding Nemo","2003-05-30","94000000","339714978","531300000","871014978",100,"G",99,270,90,38,8.2,1132877,"A+"
"Incredibles 2","2018-06-15","200000000","608581744","634223615","1242805359",118,"PG",93,390,80,51,7.5,341353,"A+"
"Inside Out","2015-06-19","175000000","356461711","501149463","857611174",95,"PG",98,387,94,55,8.1,834268,"A"
"Inside Out 2","2024-06-14","200000000","652980194","1045050771","1698030965",96,"PG",90,313,73,59,7.6,168090,"A"
"Lightyear","2022-06-17","200000000","118307188","108118232","226425420",105,"PG",74,319,60,57,6.1,127045,"A-"
"Luca","2021-06-18","","","","",95,"PG",91,303,71,52,7.4,202404,"NA"
"Monsters University","2013-06-21","200000000","268492764","475066843","743559607",104,"G",80,203,65,41,7.2,398903,"A"
"Monsters, Inc.","2001-11-02","115000000","255873250","272900000","528773250",92,"G",96,199,79,35,8.1,1000657,"A+"
"Onward","2020-03-06","175000000","61555145","80384897","141940042",102,"PG",88,350,64,56,7.4,174917,"A-"
"Ratatouille","2007-06-29","150000000","206445654","417280431","623726085",111,"G",96,253,96,37,8.1,851229,"A"
"Soul","2020-12-25","150000000","946154","120957731","121903885",100,"PG",95,360,83,55,8,392783,"NA"
"The Good Dinosaur","2015-11-25","175000000","123087120","209120551","332207671",93,"PG",75,220,66,37,6.7,130324,"A"
"The Incredibles","2004-11-05","92000000","261441092","370001000","631442092",115,"PG",97,250,90,41,8,828986,"A+"
"Toy Story","1995-11-22","30000000","223225679","171210907","394436586",81,"G",100,96,95,26,8.3,1089101,"A"
"Toy Story 2","1999-11-24","90000000","245852179","265506097","511358276",92,"G",100,172,88,34,7.9,630573,"A+"
"Toy Story 3","2010-06-18","200000000","415004880","651964823","1066969703",103,"G",98,313,92,39,8.3,908222,"A"
"Toy Story 4","2019-06-21","200000000","434038008","639356585","1073394593",100,"G",97,459,84,57,7.6,288783,"A"
"Turning Red","2022-03-11","175000000","1399001","20414357","21813358",100,"PG",95,289,83,52,7,158649,"NA"
"Up","2009-05-29","175000000","293004164","442094918","735099082",96,"PG",98,297,88,37,8.3,1151249,"A+"
"WALL-E","2008-06-27","180000000","223808164","297503696","521311860",98,"G",95,261,95,39,8.4,1226415,"A"
